word;type
boredom;negative
bores;negative
boring;negative
botch;negative
bother;negative
bothered;negative
bothering;negative
bothers;negative
bothersome;negative
boundless;posivitive
bountiful;posivitive
bowdlerize;negative
boycott;negative
braggart;negative
bragger;negative
brainiest;posivitive
brainless;negative
brainwash;negative
brainy;posivitive
brand-new;posivitive
brash;negative
brashly;negative
brashness;negative
brat;negative
bravado;negative
brave;posivitive
bravery;posivitive
bravo;posivitive
brazen;negative
brazenly;negative
brazenness;negative
breach;negative
break;negative
breakdown;negative
breaking;negative
breaks;negative
breakthrough;posivitive
breakthroughs;posivitive
breakup;negative
break-up;negative
breakups;negative
break-ups;negative
breathlessness;posivitive
breathtaking;posivitive
breathtakingly;posivitive
breeze;posivitive
bribery;negative
bright;posivitive
brighten;posivitive
brighter;posivitive
brightest;posivitive
brilliance;posivitive
brilliances;posivitive
brilliant;posivitive
brilliantly;posivitive
brimstone;negative
brisk;posivitive
bristle;negative
brittle;negative
broke;negative
broken;negative
broken-hearted;negative
brood;negative
brotherly;posivitive
browbeat;negative
bruise;negative
bruised;negative
bruises;negative
bruising;negative
brusque;negative
brutal;negative
brutalising;negative
brutalities;negative
brutality;negative
brutalize;negative
brutalizing;negative
brutally;negative
brute;negative
brutish;negative
bs;negative
buckle;negative
bug;negative
bugging;negative
buggy;negative
bugs;negative
bulkier;negative
bulkiness;negative
bulky;negative
bulkyness;negative
bull----;negative
bull****;negative
bullies;negative
bullish;posivitive
bullshit;negative
bullshyt;negative
bully;negative
bullying;negative
bullyingly;negative
bum;negative
bump;negative
bumped;negative
bumping;negative
bumpping;negative
bumps;negative
bumpy;negative
bungle;negative
bungler;negative
bungling;negative
bunk;negative
buoyant;posivitive
burden;negative
burdensome;negative
burdensomely;negative
burn;negative
burned;negative
burning;negative
burns;negative
bust;negative
busts;negative
busybody;negative
butcher;negative
butchery;negative
buzzing;negative
byzantine;negative
cackle;negative
cajole;posivitive
calamities;negative
calamitous;negative
calamitously;negative
calamity;negative
callous;negative
calm;posivitive
calming;posivitive
calmness;posivitive
calumniate;negative
calumniation;negative
calumnies;negative
calumnious;negative
calumniously;negative
calumny;negative
cancer;negative
cancerous;negative
cannibal;negative
cannibalize;negative
capability;posivitive
capable;posivitive
capably;posivitive
capitulate;negative
capricious;negative
capriciously;negative
capriciousness;negative
capsize;negative
captivate;posivitive
captivating;posivitive
carefree;posivitive
careless;negative
carelessness;negative
caricature;negative
carnage;negative
carp;negative
cartoonish;negative
cashback;posivitive
cashbacks;posivitive
cash-strapped;negative
castigate;negative
castrated;negative
casualty;negative
cataclysm;negative
cataclysmal;negative
cataclysmic;negative
cataclysmically;negative
catastrophe;negative
catastrophes;negative
catastrophic;negative
catastrophically;negative
catastrophies;negative
catchy;posivitive
caustic;negative
caustically;negative
cautionary;negative
cave;negative
celebrate;posivitive
celebrated;posivitive
celebration;posivitive
celebratory;posivitive
censure;negative
chafe;negative
chaff;negative
chagrin;negative
challenging;negative
champ;posivitive
champion;posivitive
chaos;negative
chaotic;negative
charisma;posivitive
charismatic;posivitive
charitable;posivitive
charm;posivitive
charming;posivitive
charmingly;posivitive
chaste;posivitive
chasten;negative
chastise;negative
chastisement;negative
chatter;negative
chatterbox;negative
cheap;negative
cheapen;negative
cheaper;posivitive
cheapest;posivitive
cheaply;negative
cheat;negative
cheated;negative
cheater;negative
cheating;negative
cheats;negative
checkered;negative
cheer;posivitive
cheerful;posivitive
cheerless;negative
cheery;posivitive
cheesy;negative
cherish;posivitive
cherished;posivitive
cherub;posivitive
chic;posivitive
chide;negative
childish;negative
chill;negative
chilly;negative
chintzy;negative
chivalrous;posivitive
chivalry;posivitive
choke;negative
choleric;negative
choppy;negative
chore;negative
chronic;negative
chunky;negative
civility;posivitive
civilize;posivitive
clamor;negative
clamorous;negative
clarity;posivitive
clash;negative
classic;posivitive
classy;posivitive
clean;posivitive
cleaner;posivitive
cleanest;posivitive
cleanliness;posivitive
cleanly;posivitive
clear;posivitive
clear-cut;posivitive
cleared;posivitive
clearer;posivitive
clearly;posivitive
clears;posivitive
clever;posivitive
cleverly;posivitive
cliche;negative
cliched;negative
clique;negative
clog;negative
clogged;negative
clogs;negative
cloud;negative
clouding;negative
cloudy;negative
clueless;negative
clumsy;negative
clunky;negative
coarse;negative
cocky;negative
coerce;negative
coercion;negative
coercive;negative
cohere;posivitive
coherence;posivitive
coherent;posivitive
cohesive;posivitive
cold;negative
coldly;negative
collapse;negative
collude;negative
collusion;negative
colorful;posivitive
combative;negative
combust;negative
comely;posivitive
comfort;posivitive
comfortable;posivitive
comfortably;posivitive
comforting;posivitive
comfy;posivitive
comical;negative
commend;posivitive
commendable;posivitive
commendably;posivitive
commiserate;negative
commitment;posivitive
commodious;posivitive
commonplace;negative
commotion;negative
commotions;negative
compact;posivitive
compactly;posivitive
compassion;posivitive
compassionate;posivitive
compatible;posivitive
competitive;posivitive
complacent;negative
complain;negative
complained;negative
complaining;negative
complains;negative
complaint;negative
complaints;negative
complement;posivitive
complementary;posivitive
complemented;posivitive
complements;posivitive
complex;negative
compliant;posivitive
complicated;negative
complication;negative
complicit;negative
compliment;posivitive
complimentary;posivitive
comprehensive;posivitive
compulsion;negative
compulsive;negative
concede;negative
conceded;negative
conceit;negative
conceited;negative
concen;negative
concens;negative
concern;negative
concerned;negative
concerns;negative
concession;negative
concessions;negative
conciliate;posivitive
conciliatory;posivitive
concise;posivitive
condemn;negative
condemnable;negative
condemnation;negative
condemned;negative
condemns;negative
condescend;negative
condescending;negative
condescendingly;negative
condescension;negative
confess;negative
confession;negative
confessions;negative
confidence;posivitive
confident;posivitive
confined;negative
conflict;negative
conflicted;negative
conflicting;negative
conflicts;negative
confound;negative
confounded;negative
confounding;negative
confront;negative
confrontation;negative
confrontational;negative
confuse;negative
confused;negative
confuses;negative
confusing;negative
confusion;negative
confusions;negative
congenial;posivitive
congested;negative
congestion;negative
congratulate;posivitive
congratulation;posivitive
congratulations;posivitive
congratulatory;posivitive
cons;negative
conscientious;posivitive
conscons;negative
conservative;negative
considerate;posivitive
consistent;posivitive
consistently;posivitive
conspicuous;negative
conspicuously;negative
conspiracies;negative
conspiracy;negative
conspirator;negative
conspiratorial;negative
conspire;negative
consternation;negative
constructive;posivitive
consummate;posivitive
contagious;negative
contaminate;negative
contaminated;negative
contaminates;negative
contaminating;negative
contamination;negative
contempt;negative
contemptible;negative
contemptuous;negative
contemptuously;negative
contend;negative
contention;negative
contentious;negative
contentment;posivitive
continuity;posivitive
contort;negative
contortions;negative
contradict;negative
contradiction;negative
contradictory;negative
contrariness;negative
contrasty;posivitive
contravene;negative
contribution;posivitive
contrive;negative
contrived;negative
controversial;negative
controversy;negative
convenience;posivitive
convenient;posivitive
conveniently;posivitive
convience;posivitive
convienient;posivitive
convient;posivitive
convincing;posivitive
convincingly;posivitive
convoluted;negative
cool;posivitive
coolest;posivitive
cooperative;posivitive
cooperatively;posivitive
cornerstone;posivitive
correct;posivitive
correctly;posivitive
corrode;negative
corrosion;negative
corrosions;negative
corrosive;negative
corrupt;negative
corrupted;negative
corrupting;negative
corruption;negative
corrupts;negative
corruptted;negative
cost-effective;posivitive
costlier;negative
costly;negative
cost-saving;posivitive
counter-attack;posivitive
counter-attacks;posivitive
counterproductive;negative
counter-productive;negative
coupists;negative
courage;posivitive
courageous;posivitive
courageously;posivitive
courageousness;posivitive
courteous;posivitive
courtly;posivitive
covenant;posivitive
covetous;negative
coward;negative
cowardly;negative
cozy;posivitive
crabby;negative
crack;negative
cracked;negative
cracks;negative
craftily;negative
craftly;negative
crafty;negative
cramp;negative
cramped;negative
cramping;negative
cranky;negative
crap;negative
crappy;negative
craps;negative
crash;negative
crashed;negative
crashes;negative
crashing;negative
crass;negative
craven;negative
cravenly;negative
craze;negative
crazily;negative
craziness;negative
crazy;negative
creak;negative
creaking;negative
creaks;negative
creative;posivitive
credence;posivitive
credible;posivitive
credulous;negative
creep;negative
creeping;negative
creeps;negative
creepy;negative
crept;negative
crime;negative
criminal;negative
cringe;negative
cringed;negative
cringes;negative
cripple;negative
crippled;negative
cripples;negative
crippling;negative
crisis;negative
crisp;posivitive
crisper;posivitive
critic;negative
critical;negative
criticism;negative
criticisms;negative
criticize;negative
criticized;negative
criticizing;negative
critics;negative
cronyism;negative
crook;negative
crooked;negative
crooks;negative
crowded;negative
crowdedness;negative
crude;negative
cruel;negative
crueler;negative
cruelest;negative
cruelly;negative
cruelness;negative
cruelties;negative
cruelty;negative
crumble;negative
crumbling;negative
crummy;negative
crumple;negative
crumpled;negative
crumples;negative
crush;negative
crushed;negative
crushing;negative
cry;negative
culpable;negative
culprit;negative
cumbersome;negative
cunt;negative
cunts;negative
cuplrit;negative
cure;posivitive
cure-all;posivitive
curse;negative
cursed;negative
curses;negative
curt;negative
cushy;posivitive
cuss;negative
cussed;negative
cute;posivitive
cuteness;posivitive
cutthroat;negative
cynical;negative
cynicism;negative
d*mn;negative
damage;negative
damaged;negative
damages;negative
damaging;negative
damn;negative
damnable;negative
damnably;negative
damnation;negative
damned;negative
damning;negative
damper;negative
danger;negative
dangerous;negative
dangerousness;negative
danke;posivitive
danken;posivitive
daring;posivitive
daringly;posivitive
dark;negative
darken;negative
darkened;negative
darker;negative
darkness;negative
darling;posivitive
dashing;posivitive
dastard;negative
dastardly;negative
daunt;negative
daunting;negative
dauntingly;negative
dauntless;posivitive
dawdle;negative
dawn;posivitive
daze;negative
dazed;negative
dazzle;posivitive
dazzled;posivitive
dazzling;posivitive
dead;negative
deadbeat;negative
dead-cheap;posivitive
deadlock;negative
deadly;negative
dead-on;posivitive
deadweight;negative
deaf;negative
dearth;negative
death;negative
debacle;negative
debase;negative
debasement;negative
debaser;negative
debatable;negative
debauch;negative
debaucher;negative
debauchery;negative
debilitate;negative
debilitating;negative
debility;negative
debt;negative
debts;negative
decadence;negative
decadent;negative
decay;negative
decayed;negative
deceit;negative
deceitful;negative
deceitfully;negative
deceitfulness;negative
deceive;negative
deceiver;negative
deceivers;negative
deceiving;negative
decency;posivitive
decent;posivitive
deception;negative
deceptive;negative
deceptively;negative
decisive;posivitive
decisiveness;posivitive
declaim;negative
decline;negative
declines;negative
declining;negative
decrement;negative
decrepit;negative
decrepitude;negative
decry;negative
dedicated;posivitive
defamation;negative
defamations;negative
defamatory;negative
defame;negative
defeat;posivitive
defeated;posivitive
defeating;posivitive
defeats;posivitive
defect;negative
defective;negative
defects;negative
defender;posivitive
defensive;negative
deference;posivitive
defiance;negative
defiant;negative
defiantly;negative
deficiencies;negative
deficiency;negative
deficient;negative
defile;negative
defiler;negative
deform;negative
deformed;negative
defrauding;negative
deft;posivitive
defunct;negative
defy;negative
degenerate;negative
degenerately;negative
degeneration;negative
deginified;posivitive
degradation;negative
degrade;negative
degrading;negative
degradingly;negative
dehumanization;negative
dehumanize;negative
deign;negative
deject;negative
dejected;negative
dejectedly;negative
dejection;negative
delay;negative
delayed;negative
delaying;negative
delays;negative
delectable;posivitive
delicacy;posivitive
delicate;posivitive
delicious;posivitive
delight;posivitive
delighted;posivitive
delightful;posivitive
delightfully;posivitive
delightfulness;posivitive
delinquency;negative
delinquent;negative
delirious;negative
delirium;negative
delude;negative
deluded;negative
deluge;negative
delusion;negative
delusional;negative
delusions;negative
demean;negative
demeaning;negative
demise;negative
demolish;negative
demolisher;negative
demon;negative
demonic;negative
demonize;negative
demonized;negative
demonizes;negative
demonizing;negative
demoralize;negative
demoralizing;negative
demoralizingly;negative
denial;negative
denied;negative
denies;negative
denigrate;negative
denounce;negative
dense;negative
dent;negative
dented;negative
dents;negative
denunciate;negative
denunciation;negative
denunciations;negative
deny;negative
denying;negative
dependable;posivitive
dependably;posivitive
deplete;negative
deplorable;negative
deplorably;negative
deplore;negative
deploring;negative
deploringly;negative
deprave;negative
depraved;negative
depravedly;negative
deprecate;negative
depress;negative
depressed;negative
depressing;negative
depressingly;negative
depression;negative
depressions;negative
deprive;negative
deprived;negative
deride;negative
derision;negative
derisive;negative
derisively;negative
derisiveness;negative
derogatory;negative
desecrate;negative
desert;negative
desertion;negative
deservedly;posivitive
deserving;posivitive
desiccate;negative
desiccated;negative
desirable;posivitive
desiring;posivitive
desirous;posivitive
desititute;negative
desolate;negative
desolately;negative
desolation;negative
despair;negative
despairing;negative
despairingly;negative
desperate;negative
desperately;negative
desperation;negative
despicable;negative
despicably;negative
despise;negative
despised;negative
despoil;negative
despoiler;negative
despondence;negative
despondency;negative
despondent;negative
despondently;negative
despot;negative
despotic;negative
despotism;negative
destabilisation;negative
destains;negative
destiny;posivitive
destitute;negative
destitution;negative
destroy;negative
destroyer;negative
destruction;negative
destructive;negative
desultory;negative
detachable;posivitive
deter;negative
deteriorate;negative
deteriorating;negative
deterioration;negative
deterrent;negative
detest;negative
detestable;negative
detestably;negative
detested;negative
detesting;negative
detests;negative
detract;negative
detracted;negative
detracting;negative
detraction;negative
detracts;negative
detriment;negative
detrimental;negative
devastate;negative
devastated;negative
devastates;negative
devastating;negative
devastatingly;negative
devastation;negative
deviate;negative
deviation;negative
devil;negative
devilish;negative
devilishly;negative
devilment;negative
devilry;negative
devious;negative
deviously;negative
deviousness;negative
devoid;negative
devout;posivitive
dexterous;posivitive
dexterously;posivitive
dextrous;posivitive
diabolic;negative
diabolical;negative
diabolically;negative
diametrically;negative
diappointed;negative
diatribe;negative
diatribes;negative
dick;negative
dictator;negative
dictatorial;negative
die;negative
died;negative
die-hard;negative
dies;negative
difficult;negative
difficulties;negative
difficulty;negative
diffidence;negative
dignified;posivitive
dignify;posivitive
dignity;posivitive
dilapidated;negative
dilemma;negative
diligence;posivitive
diligent;posivitive
diligently;posivitive
dilly-dally;negative
dim;negative
dimmer;negative
din;negative
ding;negative
dings;negative
dinky;negative
diplomatic;posivitive
dire;negative
direly;negative
direness;negative
dirt;negative
dirtbag;negative
dirtbags;negative
dirt-cheap;posivitive
dirts;negative
dirty;negative
disable;negative
disabled;negative
disaccord;negative
disadvantage;negative
disadvantaged;negative
disadvantageous;negative
disadvantages;negative
disaffect;negative
disaffected;negative
disaffirm;negative
disagree;negative
disagreeable;negative
disagreeably;negative
disagreed;negative
disagreeing;negative
disagreement;negative
disagrees;negative
disallow;negative
disapointed;negative
disapointing;negative
disapointment;negative
disappoint;negative
disappointed;negative
disappointing;negative
disappointingly;negative
disappointment;negative
disappointments;negative
disappoints;negative
disapprobation;negative
disapproval;negative
disapprove;negative
disapproving;negative
disarm;negative
disarray;negative
disaster;negative
disasterous;negative
disastrous;negative
disastrously;negative
disavow;negative
disavowal;negative
disbelief;negative
disbelieve;negative
disbeliever;negative
disclaim;negative
discombobulate;negative
discomfit;negative
discomfititure;negative
discomfort;negative
discompose;negative
disconcert;negative
disconcerted;negative
disconcerting;negative
disconcertingly;negative
disconsolate;negative
disconsolately;negative
disconsolation;negative
discontent;negative
discontented;negative
discontentedly;negative
discontinued;negative
discontinuity;negative
discontinuous;negative
discord;negative
discordance;negative
discordant;negative
discountenance;negative
discourage;negative
discouragement;negative
discouraging;negative
discouragingly;negative
discourteous;negative
discourteously;negative
discoutinous;negative
discredit;negative
discrepant;negative
discriminate;negative
discrimination;negative
discriminatory;negative
disdain;negative
disdained;negative
disdainful;negative
disdainfully;negative
disfavor;negative
disgrace;negative
disgraced;negative
disgraceful;negative
disgracefully;negative
disgruntle;negative
disgruntled;negative
disgust;negative
disgusted;negative
disgustedly;negative
disgustful;negative
disgustfully;negative
disgusting;negative
disgustingly;negative
dishearten;negative
disheartening;negative
dishearteningly;negative
dishonest;negative
dishonestly;negative
dishonesty;negative
dishonor;negative
dishonorable;negative
dishonorablely;negative
disillusion;negative
disillusioned;negative
disillusionment;negative
disillusions;negative
disinclination;negative
disinclined;negative
disingenuous;negative
disingenuously;negative
disintegrate;negative
disintegrated;negative
disintegrates;negative
disintegration;negative
disinterest;negative
disinterested;negative
dislike;negative
disliked;negative
dislikes;negative
disliking;negative
dislocated;negative
disloyal;negative
disloyalty;negative
dismal;negative
dismally;negative
dismalness;negative
dismay;negative
dismayed;negative
dismaying;negative
dismayingly;negative
dismissive;negative
dismissively;negative
disobedience;negative
disobedient;negative
disobey;negative
disoobedient;negative
disorder;negative
disordered;negative
disorderly;negative
disorganized;negative
disorient;negative
disoriented;negative
disown;negative
disparage;negative
disparaging;negative
disparagingly;negative
dispensable;negative
dispirit;negative
dispirited;negative
dispiritedly;negative
dispiriting;negative
displace;negative
displaced;negative
displease;negative
displeased;negative
displeasing;negative
displeasure;negative
disproportionate;negative
disprove;negative
disputable;negative
dispute;negative
disputed;negative
disquiet;negative
disquieting;negative
disquietingly;negative
disquietude;negative
disregard;negative
disregardful;negative
disreputable;negative
disrepute;negative
disrespect;negative
disrespectable;negative
disrespectablity;negative
disrespectful;negative
disrespectfully;negative
disrespectfulness;negative
disrespecting;negative
disrupt;negative
disruption;negative
disruptive;negative
diss;negative
dissapointed;negative
dissappointed;negative
dissappointing;negative
dissatisfaction;negative
dissatisfactory;negative
dissatisfied;negative
dissatisfies;negative
dissatisfy;negative
dissatisfying;negative
dissed;negative
dissemble;negative
dissembler;negative
dissension;negative
dissent;negative
dissenter;negative
dissention;negative
disservice;negative
disses;negative
dissidence;negative
dissident;negative
dissidents;negative
dissing;negative
dissocial;negative
dissolute;negative
dissolution;negative
dissonance;negative
dissonant;negative
dissonantly;negative
dissuade;negative
dissuasive;negative
distains;negative
distaste;negative
distasteful;negative
distastefully;negative
distinction;posivitive
distinctive;posivitive
distinguished;posivitive
distort;negative
distorted;negative
distortion;negative
distorts;negative
distract;negative
distracting;negative
distraction;negative
distraught;negative
distraughtly;negative
distraughtness;negative
distress;negative
distressed;negative
distressing;negative
distressingly;negative
distrust;negative
distrustful;negative
distrusting;negative
disturb;negative
disturbance;negative
disturbed;negative
disturbing;negative
disturbingly;negative
disunity;negative
disvalue;negative
